data,indicador,valor
2018-09-01,ipca,0.48
2018-10-01,ipca,0.45
2018-11-01,ipca,-0.21
2018-12-01,ipca,0.15
2019-01-01,ipca,0.32
2019-02-01,ipca,0.43
2019-03-01,ipca,0.75
2019-04-01,ipca,0.57
2019-05-01,ipca,0.13
2019-06-01,ipca,0.01
2019-07-01,ipca,0.19
2019-08-01,ipca,0.11
2019-09-01,ipca,-0.04
2019-10-01,ipca,0.1
2019-11-01,ipca,0.51
2019-12-01,ipca,1.15
2020-01-01,ipca,0.21
2020-02-01,ipca,0.25
2020-03-01,ipca,0.07
2020-04-01,ipca,-0.31
2020-05-01,ipca,-0.38
2020-06-01,ipca,0.26
2020-07-01,ipca,0.36
2020-08-01,ipca,0.24
2020-09-01,ipca,0.64
2020-10-01,ipca,0.86
2020-11-01,ipca,0.89
2020-12-01,ipca,1.35
2021-01-01,ipca,0.25
2021-02-01,ipca,0.86
2021-03-01,ipca,0.93
2021-04-01,ipca,0.31
2021-05-01,ipca,0.83
2021-06-01,ipca,0.53
2021-07-01,ipca,0.96
2021-08-01,ipca,0.87
2021-09-01,ipca,1.16
2021-10-01,ipca,1.25
2021-11-01,ipca,0.95
2021-12-01,ipca,0.73
2022-01-01,ipca,0.54
2022-02-01,ipca,1.01
2022-03-01,ipca,1.62
2022-04-01,ipca,1.06
2022-05-01,ipca,0.47
2022-06-01,ipca,0.67
2022-07-01,ipca,-0.68
2022-08-01,ipca,-0.36
2022-09-01,ipca,-0.29
2022-10-01,ipca,0.59
2022-11-01,ipca,0.41
2022-12-01,ipca,0.62
2023-01-01,ipca,0.53
2023-02-01,ipca,0.84
2023-03-01,ipca,0.71
2023-04-01,ipca,0.61
2023-05-01,ipca,0.23
2023-06-01,ipca,-0.08
2023-07-01,ipca,0.12
2023-08-01,ipca,0.23
2023-09-01,ipca,0.26
2023-10-01,ipca,0.24
2023-11-01,ipca,0.28
2023-12-01,ipca,0.56
2024-01-01,ipca,0.42
2024-02-01,ipca,0.83
2024-03-01,ipca,0.16
2024-04-01,ipca,0.38
2024-05-01,ipca,0.46
2024-06-01,ipca,0.21
2024-07-01,ipca,0.38
2024-08-01,ipca,-0.02
2024-09-01,ipca,0.44
2024-10-01,ipca,0.56
2024-11-01,ipca,0.39
2024-12-01,ipca,0.52
2025-01-01,ipca,0.16
2025-02-01,ipca,1.31
2025-03-01,ipca,0.56
2025-04-01,ipca,0.43
2025-05-01,ipca,0.26
2025-06-01,ipca,0.24
2025-07-01,ipca,0.26
2025-08-01,ipca,-0.11
2025-09-01,ipca,0.48
2025-10-01,ipca,0.09
2025-11-01,ipca,0.18
2025-12-01,ipca,0.33
2026-01-01,ipca,0.33
2026-02-01,ipca,0.7
2026-03-01,ipca,0.88
2026-04-01,ipca,0.67
2026-05-01,ipca,0.58
2026-06-01,ipca,0.16
